Index,Indicators
1,1.1.1
2,1.2.1
3,1.2.2
4,1.3.1
5,1.4.1
6,1.4.2
7,1.5.1
8,1.5.2
9,1.5.3
10,1.5.4
11,1.a.1
12,1.a.2
13,1.b.1
14,2.1.1
15,2.1.2
16,2.2.1
17,2.2.2
18,2.2.3
19,2.3.1
20,2.3.2
21,2.4.1
22,2.5.1
23,2.5.2
24,2.a.1
25,2.a.2
26,2.b.1
27,2.c.1
28,3.1.1
29,3.1.2
30,3.2.1
31,3.2.2
32,3.3.1
33,3.3.2
34,3.3.3
35,3.3.4
36,3.3.5
37,3.4.1
38,3.4.2
39,3.5.1
40,3.5.2
41,3.6.1
42,3.7.1
43,3.7.2
44,3.8.1
45,3.8.2
46,3.9.1
47,3.9.2
48,3.9.3
49,3.a.1
50,3.b.1
51,3.b.2
52,3.b.3
53,3.c.1
54,3.d.1
55,3.d.2
56,4.1.1
57,4.1.2
58,4.2.1
59,4.2.2
60,4.3.1
61,4.4.1
62,4.5.1
63,4.6.1
64,4.7.1
65,4.a.1
66,4.b.1
67,4.c.1
68,5.1.1
69,5.2.1
70,5.2.2
71,5.3.1
72,5.3.2
73,5.4.1
74,5.5.1
75,5.5.2
76,5.6.1
77,5.6.2
78,5.a.1
79,5.a.2
80,5.b.1
81,5.c.1
82,6.1.1
83,6.2.1
84,6.3.1
85,6.3.2
86,6.4.1
87,6.4.2
88,6.5.1
89,6.5.2
90,6.6.1
91,6.a.1
92,6.b.1
93,7.1.1
94,7.1.2
95,7.2.1
96,7.3.1
97,7.a.1
98,7.b.1
99,8.1.1
100,8.2.1
101,8.3.1
102,8.4.1
103,8.4.2
104,8.5.1
105,8.5.2
106,8.6.1
107,8.7.1
108,8.8.1
109,8.8.2
110,8.9.1
111,8.10.1
112,8.10.2
113,8.a.1
114,8.b.1
115,9.1.1
116,9.1.2
117,9.2.1
118,9.2.2
119,9.3.1
120,9.3.2
121,9.4.1
122,9.5.1
123,9.5.2
124,9.a.1
125,9.b.1
126,9.c.1
127,10.1.1
128,10.2.1
129,10.3.1
130,10.4.1
131,10.4.2
132,10.5.1
133,10.6.1
134,10.7.1
135,10.7.2
136,10.7.3
137,10.7.4
138,10.a.1
139,10.b.1
140,10.c.1
141,11.1.1
142,11.2.1
143,11.3.1
144,11.3.2
145,11.4.1
146,11.5.1
147,11.5.2
148,11.5.3
149,11.6.1
150,11.6.2
151,11.7.1
152,11.7.2
153,11.a.1
154,11.b.1
155,11.b.2
156,12.1.1
157,12.2.1
158,12.2.2
159,12.3.1
160,12.4.1
161,12.4.2
162,12.5.1
163,12.6.1
164,12.7.1
165,12.8.1
166,12.a.1
167,12.b.1
168,12.c.1
169,13.1.1
170,13.1.2
171,13.1.3
172,13.2.1
173,13.2.2
174,13.3.1
175,13.a.1
176,13.b.1
177,14.1.1
178,14.2.1
179,14.3.1
180,14.4.1
181,14.5.1
182,14.6.1
183,14.7.1
184,14.a.1
185,14.b.1
186,14.c.1
187,15.1.1
188,15.1.2
189,15.2.1
190,15.3.1
191,15.4.1
192,15.4.2
193,15.5.1
194,15.6.1
195,15.7.1
196,15.8.1
197,15.9.1
198,15.a.1
199,15.b.1
200,15.c.1
201,16.1.1
202,16.1.2
203,16.1.3
204,16.1.4
205,16.2.1
206,16.2.2
207,16.2.3
208,16.3.1
209,16.3.2
210,16.3.3
211,16.4.1
212,16.4.2
213,16.5.1
214,16.5.2
215,16.6.1
216,16.6.2
217,16.7.1
218,16.7.2
219,16.8.1
220,16.9.1
221,16.10.1
222,16.10.2
223,16.a.1
224,16.b.1
225,17.1.1
226,17.1.2
227,17.2.1
228,17.3.1
229,17.3.2
230,17.4.1
231,17.5.1
232,17.6.1
233,17.7.1
234,17.8.1
235,17.9.1
236,17.10.1
237,17.11.1
238,17.12.1
239,17.13.1
240,17.14.1
241,17.15.1
242,17.16.1
243,17.17.1
244,17.18.1
245,17.18.2
246,17.18.3
247,17.19.1
248,17.19.2
